月份,項目,金額,數量,比率,來源,單位,客戶,耗時分鐘
2026/06/03,後段,62.53,189,57.31,正常登錄,研發,順發,150
2026/07/05,後段,89.80,0,11.32,正常登錄,研發,順發,12
2026/07/21,後段,79.21,160,4.13,正常登錄,營運,東昇,47
2026/07/21,完成,41.46,54,93.49,正常登錄,資材,東昇,196
2026/07/29,中段,41.76,138,82.92,正常登錄,製造,捷欣,160
2026/06/09,後段,12.51,40,76.51,正常登錄,資材,東昇,43
2026/06/15,後段,29.81,149,43.20,正常登錄,研發,東昇,203
2026/07/21,前段,27.20,195,78.23,正常登錄,資材,東昇,9
2026/06/01,中段,29.34,233,19.37,待確認,製造,大宏,30
2026/06/30,前段,92.93,0,4.64,正常登錄,製造,捷欣,18
2026/07/15,後段,1.17,0,56.71,正常登錄,營運,力鋼,211
2026/06/04,中段,54.78,0,48.94,待確認,研發,東昇,36
2026/07/16,中段,17.20,0,83.47,正常登錄,品保,大宏,53
2026/07/03,完成,89.07,0,14.67,待確認,研發,捷欣,134
2026/06/03,後段,49.01,196,60.44,已回報,資材,力鋼,101
2026/06/27,中段,93.78,215,57.26,待確認,資材,捷欣,36
2026/06/08,中段,96.06,0,45.45,正常登錄,資材,東昇,44
2026/07/10,前段,48.73,222,27.02,待確認,製造,捷欣,19
2026/07/13,中段,69.53,232,41.14,正常登錄,資材,力鋼,39
2026/06/02,後段,13.08,58,41.89,待確認,品保,捷欣,198
2026/06/27,後段,31.30,0,39.64,已回報,研發,東昇,130
2026/07/02,前段,53.73,200,43.58,正常登錄,研發,永利,150
2026/07/17,前段,25.47,222,79.03,待確認,營運,順發,144
2026/07/10,中段,24.04,140,92.24,正常登錄,資材,大宏,49
2026/06/16,完成,82.12,0,4.30,正常登錄,品保,永利,16
2026/06/02,前段,19.06,44,44.46,正常登錄,營運,東昇,157
2026/07/12,後段,56.85,134,23.09,待確認,營運,東昇,132
2026/07/14,後段,34.53,182,90.40,正常登錄,資材,捷欣,169
2026/06/23,前段,0.93,3,75.35,待確認,資材,大宏,79
2026/07/08,中段,60.96,51,76.77,正常登錄,資材,力鋼,51
2026/07/30,中段,70.42,103,53.20,正常登錄,品保,順發,137
2026/07/09,後段,59.43,236,79.60,正常登錄,資材,東昇,149
2026/07/20,前段,54.56,85,82.33,正常登錄,製造,永利,164
2026/07/19,後段,4.29,0,58.76,已回報,製造,東昇,110
2026/07/14,中段,61.41,174,47.77,待確認,營運,順發,190
2026/06/24,中段,45.19,226,69.58,正常登錄,資材,大宏,33
2026/06/23,完成,60.21,0,29.86,待確認,資材,大宏,82
2026/07/06,完成,6.20,188,55.97,待確認,營運,力鋼,231
2026/06/06,後段,76.23,160,42.60,正常登錄,資材,力鋼,126
2026/07/26,前段,73.32,15,42.36,正常登錄,營運,大宏,26
2026/07/29,前段,29.04,225,89.67,正常登錄,品保,捷欣,188
2026/07/27,後段,15.08,0,82.37,正常登錄,營運,順發,199
2026/07/22,前段,26.77,76,10.04,正常登錄,製造,永利,51
2026/07/24,中段,40.09,0,63.83,正常登錄,製造,順發,43
2026/07/04,前段,68.09,39,1.59,待確認,研發,力鋼,41
2026/06/23,中段,67.47,68,35.29,正常登錄,製造,東昇,55
2026/06/13,中段,6.53,0,25.50,待確認,資材,順發,183
2026/07/27,前段,60.78,174,35.60,待確認,營運,捷欣,90
2026/07/21,中段,46.46,179,57.77,正常登錄,製造,順發,35
2026/06/09,後段,2.58,35,54.07,待確認,資材,力鋼,207
2026/06/14,後段,44.23,7,32.58,正常登錄,品保,力鋼,89
2026/06/24,中段,30.24,48,30.17,正常登錄,製造,東昇,208
2026/07/05,完成,94.03,61,60.22,已回報,資材,永利,38
2026/07/21,完成,82.99,98,7.87,已回報,營運,東昇,53
2026/06/22,後段,46.79,200,74.79,正常登錄,製造,東昇,148
2026/07/12,完成,47.96,0,73.00,待確認,營運,東昇,132
2026/07/27,完成,48.00,168,72.52,已回報,營運,捷欣,120
2026/07/08,前段,55.35,0,73.60,正常登錄,研發,東昇,175
2026/07/10,前段,84.99,0,18.43,已回報,營運,捷欣,77
2026/07/24,中段,26.53,0,45.48,已回報,品保,力鋼,74
